ph,Hardness,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
10.56074464,181.8933656,340.3903784,456.5564021,16.48283537,34.25204908,3.96468635,0
7.484254838,260.0921726,,404.6707773,15.93448387,66.62102655,4.781188177,0
8.520806573,238.3351125,381.6493229,481.3188027,6.016336609,39.09117136,3.94060453,0
4.999413811,190.2870501,324.8930378,405.330482,8.236557503,99.42738492,4.460683932,0
,157.8011936,300.0442343,360.9959945,12.82386095,71.7170051,4.405385706,0
,155.0557268,,290.1809831,16.62225518,59.62205746,4.08990769,0
3.906078355,233.402835,348.3594482,269.4490512,9.6541256,63.74306384,3.902879712,0
6.391353624,213.0178297,327.6505425,369.3381209,13.75810517,17.91572257,3.923749169,0
,229.4856937,384.9437789,296.3975472,16.92709218,,3.855602212,0
8.692092013,195.1437388,,398.345418,12.38077079,48.44072487,4.477960248,0
8.085759801,127.7396738,,416.2396301,11.11965925,78.27505004,4.068688909,0
6.203977702,212.3066183,,362.1080043,14.93301266,63.87381995,5.215689206,0
5.058108869,238.5693804,374.4335045,669.7250862,13.35318143,76.52179975,5.106655774,0
,103.4647587,,485.9745005,11.35113273,67.86996368,4.620793452,0
,211.200526,326.9615176,333.329848,16.04514848,49.89840564,3.439740042,0
7.261550522,179.8897882,349.2692713,501.1827807,17.28771328,50.99300645,3.636364183,0
7.160467231,183.08931,277.5990986,428.0363444,9.79962469,90.03537367,3.884891044,0
5.704764776,116.2993299,297.0781535,504.378681,9.001820488,48.14703125,4.157533407,0
6.217273135,130.9444639,300.131272,556.65371,14.08360835,57.89707471,5.325833446,0
8.67993497,242.2286673,,352.9425881,18.70440906,69.90790245,3.873470298,0
,219.3009142,344.4423937,425.2135748,15.77183437,49.35200148,4.655916599,0
6.897322141,211.3601667,,383.0143102,13.93478804,90.52332986,5.02278363,0
3.514545529,158.7320758,286.5228468,307.379142,9.712231911,79.85092857,3.762615331,0
3.722500486,163.6397469,326.6940179,467.5629729,14.56726886,50.5779791,3.662837732,0
6.455004797,176.6839728,314.7995983,477.5813462,16.24550434,57.72972383,2.293431406,0
7.316804754,217.522862,376.9379723,425.9134002,8.992754272,69.50921982,3.50837265,0
1.844538366,233.7643427,,410.3872638,15.6118593,54.29944409,5.013463351,0
5.519125656,168.728583,,443.5703721,18.0990781,,3.75899586,0
7.408985467,204.9617498,311.4526625,504.1459941,11.53214401,81.10693773,3.772420928,0
5.976769618,258.952732,383.6571521,514.1189201,12.25679025,82.46979843,2.994671096,0
6.395359132,133.8342291,266.9084283,573.4002951,9.833874585,95.02660928,4.191217515,0
6.20964226,195.4177209,,417.241656,7.507662315,70.54738691,3.612519615,0
6.762832522,232.0751766,350.4452927,465.4137746,13.86396488,64.81225738,4.916579161,0
9.918717064,199.1812511,329.178429,430.5077069,15.96604294,59.29227327,3.385508444,0
10.15544017,300.2924758,398.6477857,487.459131,9.347633986,67.91978869,5.00246726,0
8.721726711,206.3696824,377.4045382,506.9383527,13.55375101,42.38148394,2.555026904,0
,197.9797828,329.2803146,575.1146944,11.87098148,69.10983568,4.383921814,0
,199.1078856,357.303221,420.7095912,9.226618665,55.29428327,3.355164642,0
6.099646705,237.9199268,,291.1048366,19.27005426,93.13800948,3.172789769,0
9.02678772,253.2170742,373.5532353,588.3196505,16.14573205,59.12445085,2.019042018,0
6.953371603,203.1465468,304.2831932,551.1433372,9.387781276,55.95800559,3.651865808,0
6.140877557,197.8760897,329.2318529,548.0727613,15.83633021,41.26364788,5.359460295,0
7.077874007,220.6705396,341.9872341,333.0507859,10.66179894,90.29777033,4.764508265,0
5.488314309,135.8023617,280.6032867,441.3311375,14.86026268,88.28734556,5.066786272,0
7.205559175,120.3276153,289.7686966,418.4332899,13.64314709,63.73373237,3.710053126,0
9.177869866,163.2748283,320.4214322,426.9943932,10.2142746,62.43092616,3.108769988,0
4.270716195,166.8377085,297.2067392,349.5189104,13.47852645,54.47483954,3.763905903,0
7.348844512,223.2649397,,494.1584341,18.14537425,73.71552202,4.880875156,0
8.52616987,175.6128363,308.3985155,474.2404823,21.84591625,52.37220111,5.083014142,0
,169.0419175,329.0397102,590.7487872,17.69511436,103.1504626,3.995973787,0
2.612035915,188.8041257,,468.0802666,13.17076321,49.52376998,4.76520537,0
8.490571562,204.1236484,358.847115,435.0008983,17.08424565,62.42163706,3.875556805,0
,213.5419323,334.0411862,463.3988471,11.62301916,69.61584964,3.398592587,0
8.858401531,254.6175187,348.4081949,344.3033625,7.935467758,78.10854982,5.525726338,0
6.098156521,189.995846,347.9304004,245.859632,14.63688226,73.42463246,3.977362364,0
8.419970682,185.7189888,308.1426389,463.6472774,17.20956506,48.78311166,3.962478314,0
9.286155021,222.6615514,332.2393595,353.7401,14.17176257,,5.23998187,0
7.875895135,226.2847878,346.4032581,445.3741474,6.063461913,63.12804403,4.238589203,0
7.725332908,252.2654912,426.5435898,339.4113267,17.48584425,60.48388466,3.724836704,0
3.388090611,212.0289445,349.1559987,353.9129274,18.20833967,82.38787399,2.798600948,0
6.745306715,218.424637,,373.0501016,16.82661946,74.08607997,3.90235259,0
,190.4238985,357.2267095,263.7719135,13.4452252,67.0555584,5.629015636,0
7.183825723,261.8507998,358.7247021,290.4238384,17.14990713,82.0251158,4.597165512,0
10.1119767,240.4321002,361.9029262,403.0418101,16.13112429,61.11114634,3.425763242,0
7.397413299,122.5410399,241.6075323,489.8516004,13.3659062,,3.14915751,0
7.812804388,196.583886,,442.5457745,14.66691724,,6.204846359,0
6.877456933,136.8792139,307.3970883,342.1963466,18.40384583,81.19341217,3.827650072,0
,146.9702452,,468.9450148,18.60138073,49.56196889,4.664350321,0
,230.8094825,369.3100078,274.6605966,9.5785846,72.37690878,4.197595209,0
7.521051679,267.0596474,,505.7093717,16.23774577,57.03778017,2.880785347,0
8.550875469,231.2487868,369.2642227,432.28527,16.26629669,73.14946432,3.772886607,0
10.30847766,217.2197464,369.5312064,382.9515048,6.580401551,59.57603991,3.285077052,0
,252.670469,433.9522119,465.2166206,13.22103363,84.19860653,5.052736766,0
7.371085073,207.7168244,362.30018,363.1685384,11.54266178,67.72070438,4.412589537,0
11.18069466,228.3008604,,504.0505391,15.03504691,110.7392993,3.809841654,0
6.506487767,202.2859379,326.6623683,481.7719343,16.53518593,46.20574791,3.548775589,0
6.643935775,151.8896001,240.9367221,437.9090052,15.26474235,64.2039637,3.812952926,0
5.03377399,155.3214775,320.115497,500.6373262,18.31249854,63.19330599,3.244948477,0
6.912607562,155.7404952,275.9082279,439.6480512,18.38071193,55.50746847,2.612248953,0
7.977635991,245.8951304,399.5831549,473.6624528,11.7283382,23.8170199,3.5521295,0
6.078335837,197.5019119,379.5277063,360.0604774,20.09841289,41.86595951,4.201580906,0
6.242414484,191.9087295,319.3067851,448.2425267,19.37009087,60.93948098,4.508705098,0
6.06335479,160.7673113,305.8285533,327.2702387,12.30901596,69.03845387,3.467336915,0
8.129585514,177.8989666,334.4385388,397.0214276,15.93626168,81.3907585,3.362537135,0
9.562405944,202.0136426,327.118824,433.3816667,14.13906591,63.54899266,3.762719837,0
8.167792632,200.9137547,344.1611343,525.5987875,16.142284,66.23143554,4.289395484,0
8.594416135,270.0227059,,672.5569992,20.18405147,54.96128525,3.568991708,0
,167.3861273,,566.339294,11.3188066,,3.679795035,0
6.825467901,187.0517097,352.7021822,373.4272355,12.60638165,58.75220132,3.027449578,0
7.861177701,204.2742411,338.2138034,469.4869612,15.99341035,86.16729829,4.157656628,0
4.96577356,220.8486386,311.598136,386.4133315,18.03523754,53.90817735,3.421766849,0
6.207432968,192.9370271,325.9065618,533.7958508,14.68753934,60.48503329,3.549298841,0
,157.0012874,,490.9097122,17.32294643,71.96926138,4.417559791,0
9.769251006,264.2656543,359.2685426,353.1964755,15.04708691,52.64545853,4.636556195,0
9.63066548,152.8624335,333.1483177,417.1670729,16.67018392,89.99757422,4.920091158,0
5.187471605,104.752425,,368.8154286,15.14034849,98.65664588,3.203257896,0
7.633570088,199.6529996,358.5662821,420.5341718,10.53939227,100.242706,2.927066767,0
5.77119905,155.0508931,297.0093194,313.7019343,11.704789,85.68830345,4.688959065,0
6.579969329,197.2269809,290.2898943,254.3932756,9.847655276,73.74971647,4.575931872,0
4.801154368,180.7728708,322.062447,587.3950117,12.40136807,62.02818652,4.418638132,0
7.948815718,238.2364097,,434.6554586,8.663293701,67.30404028,3.692250861,0
6.906992172,216.7852908,340.1060278,356.4591369,9.614106025,61.12264363,2.124759352,0
,281.268667,343.6358213,395.3417753,14.90308047,67.12516778,4.444350199,0
,190.7794599,308.5648863,399.2713589,11.87679667,61.88663599,3.463172548,0
8.461330874,212.5813664,384.8553815,477.3433686,13.80171218,,3.771944146,0
7.726134808,233.9478637,340.2731714,472.2589937,14.39986002,36.57803789,3.720636904,0
,247.6615733,,438.8657751,16.62465362,64.94900818,3.777737414,0
8.927078148,241.875105,367.9755579,380.1972,10.85928728,75.85706782,4.601860959,0
6.20801554,153.2211063,328.282029,481.1956735,14.27409228,62.71819917,4.334615732,0
6.128425635,141.4924095,277.9517037,415.0087369,16.43584291,50.69392671,4.633823862,0
,202.2548328,339.9839346,416.5889058,14.07922835,62.76552953,2.678910713,0
7.308048848,274.7049505,384.5648525,415.6072778,16.7616247,68.93722695,3.696119712,0
,170.0992357,,515.386742,13.51607813,40.51417236,4.353238589,0
8.640886409,201.5687241,352.3065857,309.9832868,17.66508338,68.66492348,5.263101572,0
,205.5094572,355.2659229,482.3300548,12.33777643,70.58060723,4.102529482,0
8.153210075,127.1448918,267.6368856,487.9083272,11.94347658,90.61935439,2.905788134,0
8.29372011,206.1604149,347.0622407,399.4836212,16.06566794,79.95451096,3.954715283,0
,233.850345,,332.7375865,9.745282009,77.52994451,3.310858508,0
,237.6773831,372.6002964,344.7679244,14.44223828,72.69624049,3.706601792,0
9.489972878,234.0699652,,277.9700697,16.69821637,81.42717402,4.219967522,0
7.830976343,190.7990441,292.5158245,507.4454883,15.52665845,85.0095059,4.588784657,0
4.430281212,139.6857588,298.3794584,434.7812671,17.29929446,63.04250092,4.384565156,0
7.240739639,201.1868045,340.9836834,579.2203941,13.4863791,62.6502355,3.556297467,0
,260.2053596,368.8210368,251.0208987,12.80458815,48.65189043,3.665521764,0
6.867301322,174.1849764,297.6555749,484.1229389,11.482687,65.30441362,3.82359504,0
6.129637015,200.2781822,348.8681541,341.3885767,9.300117278,79.55361207,4.615886181,0
7.917049443,278.056321,424.7879959,358.7817362,15.05431287,56.83960203,3.659484625,0
6.511618075,181.8734217,345.7516385,475.3413507,12.32123216,52.43761714,4.850433708,0
5.323815584,232.36858,380.576472,580.8977004,12.29380305,55.31001941,2.880721846,0
6.769572869,168.9370725,305.7949503,289.5424601,18.54590296,62.00157128,5.22054027,0
5.87797404,141.6152867,279.7824004,538.4954044,12.03404227,67.90725801,4.032259504,0
9.534021716,201.955208,319.5764202,259.6368031,15.62561667,,2.768238928,0
6.340027628,225.0281485,363.0057551,435.5004571,11.38593727,80.67031136,3.686001324,0
8.66159243,284.0983515,,512.2773101,16.91214158,72.46576277,3.67043101,0
5.653506135,146.5902323,299.6446114,272.4405583,13.79526446,87.82258511,5.198985504,0
6.626012184,112.2994855,312.2470431,327.2480786,19.40914656,85.78510284,4.194313129,0
7.793833573,176.8664829,338.2295973,371.216973,9.039042454,76.28807631,4.172935335,0
7.59312765,261.5661726,,387.6295723,16.57598077,51.83094808,3.377337638,0
7.362736502,185.692181,316.9186485,419.2584481,16.02424609,64.67891377,4.408513182,0
9.320305445,129.8238585,271.6705616,499.8441671,13.0768589,82.8375829,4.205809732,0
3.719791644,248.8592673,351.5554822,427.4959312,20.39378167,38.6049369,2.718397734,0
6.655605026,216.4411715,,336.8314548,17.74599613,71.70430486,2.951644715,0
9.868877881,214.1662353,297.0841735,424.2928308,19.18844138,70.0705141,3.355489791,0
5.590614436,229.1921395,,469.4130904,13.28155615,76.9927158,4.726845017,0
5.554436511,229.1228286,,306.872526,13.97480047,87.27337543,2.095914087,0
4.126528715,125.4748835,261.4447977,445.2414569,18.57592068,86.43365536,4.460200984,0
5.970035657,230.4493293,315.1861206,327.786642,13.32598708,39.55424883,5.428674072,0
,229.7713495,,448.8460364,8.816486899,,4.600927569,0
8.369154354,183.5003784,315.9011216,493.4654399,12.98710649,87.02941032,3.629749331,0
6.284248242,190.0176486,,395.2610634,13.24613956,58.92772621,3.377132289,0
11.26782838,161.8963622,,316.5358711,11.76830935,25.52526693,4.153347001,0
9.298018008,163.0388346,,399.4773578,15.36588356,83.92316815,3.681324244,0
7.895469246,154.2657803,258.3128794,407.7322172,16.42004096,63.01601758,4.2369473,0
7.947485786,269.809407,390.1042229,425.627814,13.74926131,56.63581132,3.70085384,0
10.02615916,224.2663577,336.9729496,517.5128415,18.85851888,65.36345158,4.182277582,0
6.48819324,225.4819088,385.5056354,324.5098409,12.6965448,97.11286019,4.592073571,0
5.869736755,207.7254552,352.563987,465.6164808,14.83810023,77.82273707,4.689315048,0
,220.8137025,335.8458627,382.197839,9.500295529,86.9901344,3.659974812,0
5.30414266,160.9683582,300.5006892,497.7903905,15.01303033,61.11551322,4.165723664,0
7.533614823,186.9182451,,363.5063443,10.7401459,49.5743083,3.462763987,0
4.077607725,207.8380479,,288.3651931,13.30669203,35.82455649,2.758658531,0
,105.8592636,,358.8887676,12.20710849,71.11989017,3.87385335,0
7.086168401,189.1453777,259.3733218,400.9043497,12.99301224,63.90228825,3.416539753,0
6.271012171,213.444685,,543.3917436,17.91652637,84.57886851,5.303581361,0
7.957768344,276.7335689,397.4319622,514.421722,14.5297793,60.55969904,3.450745892,0
8.875642278,228.9215872,351.9607232,474.772519,14.68397047,52.57886002,4.006991559,0
,192.447171,313.7765458,462.4024491,13.93214538,53.18591655,4.358298341,0
6.613709118,141.1289215,295.2368921,374.7703158,14.03826326,74.2992498,3.539771111,0
7.735705022,137.3181658,282.5398923,595.3292635,18.75613937,63.04277916,2.148611536,0
9.925041328,238.7133934,351.5974227,405.9001841,13.55036657,59.46266898,4.703803489,0
9.00258311,202.9907653,330.3615123,366.4917287,15.68940449,55.69739952,4.904837415,0
5.095766465,273.4084481,380.2014982,513.8775793,18.27241832,61.42518695,4.35219347,0
8.594677108,263.7645927,383.9625918,588.8527329,13.579996,86.19163513,4.754072499,0
7.083779061,112.820254,234.8526993,434.7477154,23.39951606,94.1603073,3.887680685,0
7.682872498,180.7013755,296.2388769,469.8356255,15.83176344,61.8020951,3.778606788,0
,133.8131148,,415.2117346,11.50450612,92.97576168,3.313199022,0
6.419772474,208.7602476,,523.6001756,20.23252348,,3.095233157,0
4.443238899,178.9562058,298.576676,429.544773,17.72972404,56.34768853,3.268324836,0
6.978664262,183.2427962,323.1557769,470.0787053,16.08284748,65.99571677,4.766943236,0
6.623613566,203.0301413,311.7262883,410.2432475,15.91450007,65.02122897,2.915165951,0
3.664710562,201.0973162,330.0235306,291.1484489,17.47063098,75.10180148,3.316157657,0
4.814135621,205.2140411,350.4879387,414.030709,10.99941608,47.40266587,5.190851805,0
5.779673705,199.5860803,,428.5532485,16.02250323,64.8727034,4.656377233,0
6.937818783,177.5781419,,439.624998,9.348252155,83.1632417,3.724089564,0
7.436782609,208.094004,339.0238982,522.79373,17.11527603,65.31127723,3.727663719,0
4.723312573,252.274895,378.5603036,411.2950246,16.58457144,66.72840154,3.917586695,0
9.380658051,265.0612161,333.3344693,503.1706154,11.28641004,99.01600307,4.034349047,0
7.810144933,187.3150477,325.2288808,351.1860809,16.80039961,68.48548029,4.033773709,0
9.436637164,143.7884118,,469.7613277,14.21576467,66.07797804,4.41111744,0
9.406325753,216.7621587,355.4730347,347.9830783,16.34071505,32.10829248,3.097277957,0
6.321259315,207.2577096,286.4892804,491.7653132,10.54688624,74.502808,4.501457204,0
,217.369746,,409.2207765,10.21377929,18.40001219,3.605154199,0
4.705356496,103.173587,,370.1781664,9.182833652,93.90048587,3.437450134,0
8.896418988,222.2562929,332.0026304,425.2268617,10.84773685,,3.700945733,0
6.581878202,272.9827447,416.0834805,351.4768394,15.12933449,79.2610265,4.201662864,0
6.755145902,231.2601313,342.5480142,385.1146477,13.88883433,79.30243573,5.162729749,0
9.445129838,145.8054024,310.5833739,592.659021,8.606396747,77.57745951,3.875165247,1
9.024845037,128.0966912,300.150377,451.143481,14.77086294,73.77802565,3.985250506,1
,169.974849,,475.5735624,12.92410682,50.86191298,2.747312999,1
6.80011909,242.0080815,187.1707144,376.4565931,11.43246635,73.77727503,3.8549399,1
7.174135163,203.4089346,287.0856791,315.5499,14.53351004,74.40561603,3.939895657,1
7.657991237,236.9608892,373.1653628,416.6241889,10.46423858,85.85276861,2.437296288,1
8.322986672,207.2524622,297.8130845,358.7258688,18.70927337,60.91142039,4.052135728,1
5.934279093,223.8581252,,277.3845373,11.36686342,66.62394365,5.217895024,1
9.802720782,98.77164353,323.1990765,512.4287308,14.16893351,59.45443977,2.764633881,1
6.101955231,215.2680896,308.4826954,417.8435527,13.1472795,62.50564153,3.53559633,1
4.997770601,280.0824107,374.2329606,297.61154,15.57157096,70.56027461,3.404632906,1
4.815766791,217.6870932,278.7422964,481.4808283,15.5172963,77.6933736,4.375223811,1
6.548020558,278.5851052,366.871502,497.3217528,16.56316651,79.3236784,3.611860372,1
13.17540172,47.432,375.1473148,500.2459518,12.08389565,,4.10692449,1
6.618010906,233.6616359,432.556385,401.6697906,11.76614643,73.19192051,4.437695749,1
7.788054733,212.6914573,360.668259,359.5690815,14.82874304,83.85633634,3.368757217,1
5.191834327,211.0941848,323.1092851,388.7165795,17.78000011,83.50540623,3.859800939,1
5.626339528,230.8579828,,346.5532064,11.36870244,43.19518163,1.943318777,1
6.869638941,251.2934475,279.7768565,539.4668769,12.99414,56.40970792,4.726702454,1
9.058628424,155.3575571,343.233977,463.389256,17.85447002,83.17518934,3.65213447,1
7.291888325,127.5442971,247.3354119,439.6493286,17.28504169,59.55632952,5.328712788,1
7.275908774,175.2203765,293.3098537,373.3456926,17.41168255,56.79928677,5.062297798,1
6.512737124,229.263861,192.0335917,479.5012786,9.983462392,66.66857615,4.612963629,1
7.207886781,175.8702941,320.1021726,468.5628288,16.16409127,71.14666068,3.762741072,1
,156.5206348,352.3534309,629.2812475,13.50768846,42.34016996,3.772919265,1
5.324941856,280.0896549,180.2067464,392.4214958,10.50481955,55.08466785,4.427137926,1
7.082300649,169.4689273,350.401849,353.0303803,18.95953438,30.38909611,3.485577388,1
5.33418358,224.7879362,,360.1791773,12.24734356,67.15475113,5.091357101,1
10.7618978,81.71089527,318.4272408,392.7040818,12.71635014,52.24697244,4.661798516,1
6.286806948,258.3000516,328.6806496,563.4347751,16.46083688,73.51665351,4.104863275,1
9.794558699,129.8709584,291.9800835,427.1239484,11.85322809,78.71146943,2.945418738,1
8.210443565,167.1021915,243.4859418,391.0688736,13.74705768,61.05821029,4.97605516,1
6.941719438,173.3343894,,374.4853324,19.93748613,,4.563183171,1
10.35611883,136.3237517,327.922751,365.7202915,17.97556384,77.35985434,4.201849441,1
7.958984292,171.4836247,259.9799662,327.623881,16.11711046,107.7540426,4.698007916,1
3.882631081,243.8079497,,341.2911163,12.99059199,60.10996798,3.734001387,1
5.671773833,216.0428111,,372.5352428,17.89572372,77.45788496,3.833159746,1
10.00330054,143.0942854,,574.5550413,16.96330978,36.7676707,4.746381859,1
6.552847474,198.8069397,274.9043512,477.1639068,14.36963009,78.17306259,4.687986155,1
7.628552723,156.7936942,255.0431936,495.9669861,13.63397438,65.60484125,4.182057148,1
4.79084054,268.7208812,377.2411613,608.8468563,10.80631311,83.70223599,3.258858945,1
7.710959939,181.9381256,390.596392,516.2840829,17.01078491,58.24173419,4.28894682,1
8.291299006,211.2170343,275.7673211,475.9091299,12.6146689,66.61298363,3.424701921,1
6.193170101,225.6834218,,389.4059776,14.5601358,76.45781594,3.466645288,1
9.032660579,121.4414415,372.9274557,390.6572261,15.03031511,63.125617,4.927218272,1
6.139493741,236.6740259,,416.2388206,12.77701399,106.0372225,3.260906853,1
7.12942473,178.3723523,312.9827267,323.2989152,16.40615622,69.15760946,3.418610803,1
,191.2852176,355.4887658,509.4068215,16.69147057,84.10773756,4.109590274,1
5.418503763,187.7768087,,454.5202956,6.37407026,103.3730053,4.506539591,1
8.075494508,195.8049958,298.7372193,321.7483389,9.751086325,72.73442314,3.682919645,1
,225.287704,377.1289704,291.3537014,11.59002511,72.5085229,4.081701398,1
10.04967372,132.8328367,323.508072,442.7680497,13.37614863,92.17616984,5.133477823,1
5.667650647,229.9283665,293.5742499,554.1205362,14.25464074,54.43670238,3.633213756,1
,181.6891637,298.2267188,417.6312019,8.630090798,72.92328888,3.807920062,1
8.923980608,135.9384675,,415.6294838,11.94991382,69.31487958,4.15558319,1
6.428866313,225.6130938,,466.0443992,18.0153855,87.16363085,4.184783372,1
6.960603502,201.7154525,,468.5913885,10.49058864,89.68619627,4.978820188,1
5.873675846,203.3299282,,420.2912301,11.11927378,65.2295512,5.412090885,1
6.79546901,187.7830201,316.9569345,498.665928,19.60042881,55.40111272,5.163088154,1
10.04102797,113.8311122,363.8668902,557.4860613,13.19534068,75.23322131,3.807562606,1
,273.2556208,233.792588,485.6472319,14.70501353,52.16423594,4.124780678,1
7.296037734,235.7351929,377.1906657,385.6143207,17.05271326,89.62355084,4.168526118,1
,161.8264761,350.4309403,375.7807164,19.7625765,86.69845685,3.497577391,1
5.862641233,185.0652199,412.6901114,331.5701387,15.30607892,59.60581211,5.50742094,1
7.292141805,174.480427,259.1649652,435.1080173,16.29361407,81.69010445,4.466912564,1
8.062805643,200.493112,,510.4144025,10.65093547,40.99280881,4.471842,1
7.82197094,157.1815455,324.8516587,294.6365314,17.18676578,72.56837619,3.532958335,1
11.301794,77.4595861,337.5012466,410.8561139,14.32688885,53.12125964,3.309580397,1
6.593764313,233.5141325,,489.7034439,14.38960913,46.46398161,2.346578095,1
9.161088613,119.8419046,343.289234,379.7251816,10.89992641,54.58073576,4.888061137,1
,144.815264,353.6072754,290.8894718,8.942072174,67.58734608,5.922581692,1
4.642953052,307.7060241,,439.9444081,18.44079003,60.14584226,3.982867293,1
7.798453676,188.3949423,258.1911841,507.1786883,18.27243924,85.17766213,4.107267203,1
5.564342491,256.20883,329.3383664,369.5555133,15.64005334,51.1503444,2.285987849,1
7.886591227,213.0525907,281.7007768,326.1153502,10.38517245,64.6625007,4.589983508,1
7.443189014,193.1247989,,430.4872957,19.39632945,72.07558551,2.664832796,1
3.657123133,275.7671418,,426.2311291,17.98595656,55.69489291,3.31462973,1
9.597191857,167.088976,346.0750158,335.1976082,14.34767609,50.64244747,5.145152871,1
6.964225943,212.7644944,321.2508981,378.0855456,13.12769368,72.08900098,3.990437572,1
7.672909523,152.8783051,343.4390173,401.1408786,14.25268374,64.29129182,4.268227482,1
6.737004072,220.1001024,,384.308673,6.748091938,8.175876384,4.063170289,1
,163.2244663,296.1902616,463.7417162,16.90014798,61.34983192,4.135745329,1
5.382489039,240.0182139,397.700065,551.4762022,12.81872967,79.77991108,4.173330283,1
7.022952113,264.5256065,262.0645514,412.7094234,5.315286537,76.02449072,4.971907099,1
,250.7053939,377.3580484,559.8178471,13.65395987,77.91771954,2.969136099,1
